,pv
342,140176760.4590937
343,232776102.84587786
344,159078593.80575433
345,232588276.4902239
346,111971027.88388084
347,382411104.2802597
348,199519312.6007856
349,153601731.31160295
350,388118575.65055525
351,524049349.7152016
352,302672526.7068675
353,151727886.43472704
354,237499800.41649863
355,270723302.43819
356,97037355.18749319
357,141625093.0815673
358,272027356.68405306
359,246815186.97124848
360,201634542.68398157
361,212530323.10191074
362,247074596.4956881
363,480957909.427671
364,137569323.27520514
365,125924364.1897413
366,166686648.46002698
367,128733236.87177855
368,177349282.44863495
369,452894590.8387499
370,124384896.57888995
371,198806904.60932294
372,156566388.24224547
373,137513249.94839635
374,254387418.8758979
375,156455175.67741475
376,120426396.03083609
377,177077401.66169935
378,110645598.7874873
379,260582338.78068978
380,211396869.13042182
381,147205335.77063647
382,144329948.17039222
383,290458237.32859015
384,187006373.3322596
385,510970189.98200047
386,191246691.47203788
387,199642833.66439235
388,123875258.59345257
389,143942679.22124568
390,249685698.1599891
391,271755898.33940786
392,113971472.46878362
393,232390400.37764034
394,212328013.25310865
395,107225988.99338937
396,208880366.41308144
397,195035148.60229614
398,192776599.9353444
399,122538225.83128686
400,142305482.4834255
401,342182334.3465624
402,662240749.7441503
403,219773733.87356114
404,153350686.3252893
405,302649159.7306676
406,239918290.15970823
407,447594877.3285785
408,140403643.26639846
409,399578332.45518863
410,271036047.994682
411,229460500.65850344
412,255530636.4659616
413,186316467.69224048
414,181304554.27612117
415,206662859.04632834
416,169877476.18118772
417,188455649.08007523
418,346082248.3451036
419,547828718.81635
420,178261197.03898957
421,244732747.4375751
422,159565698.58098015
423,166677176.69562104
424,369105096.8461328
425,136737124.65320727
426,183549334.55395663
427,266055443.8393047
428,184874408.05736557
429,266978720.15237635
430,193178296.73349866
431,436108130.0905006
432,133582405.33736445
433,329069196.73894626
434,267516071.67512465
435,141016457.57751015
436,210762652.1926804
437,243750165.817361
438,186580864.71929774
439,222789748.09835255
440,287091178.3919002
441,113668881.85608967
442,158339025.14656454
443,232174361.27448028
444,171206673.2772584
445,270412063.56847626
446,154145277.45197454
447,311290630.20134896
448,197123783.5234497
449,237272591.7392859
450,121260031.56565847
451,310216466.4556003
452,189839919.4796617
453,275856383.4453988
454,174126957.2639445
455,321897588.99398637
456,173893775.44533184
457,241334466.9039206
458,357576956.8525223
459,219911624.38046053
460,376403371.2673251
461,308552669.5665744
462,184033647.2777274
463,188694251.9653647
464,130710412.19914638
465,262319816.3438976
466,180245977.0156158
467,162165465.27468932
468,139552049.82772064
469,328294627.4773969
470,399653482.8740267
471,247411949.82590395
472,158256821.45215154
473,189687347.65629786
474,124803981.50229673
475,193459888.4173965
476,338452389.7207247
477,219431970.52461746
478,148897912.42237538
479,93608902.33027561
480,326580734.2726915
481,166661973.99238268
482,185920181.780102
483,166368113.3369878
484,111603082.40689579
485,131355634.44936167
486,286244019.50693876
487,126943767.26051971
488,129987729.62291276
489,135440047.9187591
490,210893521.87151378
491,160840471.37408873
492,291148131.30953854
493,187252840.1831135
494,277477457.8880908
495,144723084.00677812
496,125713334.140268
497,172528698.62484205
498,309915905.14090604
499,195772917.76725712
500,193174187.09266818
501,189493338.37917203
502,293751759.839959
503,248820732.66909632
504,161216781.6982703
505,264025866.81250495
506,170233284.3003833
507,240055208.20443338
508,189822065.41504252
509,180648016.69007692
510,172547969.5118199
511,161633990.11696583
512,151799773.41459796
513,128094916.51704672
514,285905349.3866343
515,236300121.41899094
516,394345649.9994977
517,157661132.94559133
518,271713732.415854
519,336631165.2878007
520,539631320.0967592
521,345917760.48083055
522,213723043.49689946
523,291417348.0884645
524,334658080.7569243
525,174538147.1790841
526,158812548.59433717
527,230378593.62662515
528,230368069.55434278
529,170404552.80409423
530,142034676.56511626
531,204159893.6731065
532,327747870.2696049
533,271057492.7704688
534,209735795.68470907
535,120014223.87809336
536,105590943.53220591
537,335738664.91758007
538,173562264.8655115
539,190144441.27936023
540,257041331.87050366
541,478995784.6960434
542,217457408.01893643
543,130865203.94709183
544,171967897.1579681
545,225906796.9143701
