,pv
438,147901454.8660648
439,123350557.9929991
440,131352822.51596467
441,262188701.47644898
442,166340041.3183653
443,156286957.73076567
444,302917910.25605905
445,321909795.44891924
446,216773658.9697894
447,172011767.01254746
448,151441942.04129735
449,279766950.35088843
450,126393171.72042106
451,148175239.993383
452,124768665.48638028
453,262344432.07716972
454,175519785.5587544
455,246093076.0394169
456,161803577.81738693
457,210975020.88781136
458,207252615.05112886
459,160601561.36864483
460,537792192.3061869
461,144909405.41690838
462,124619823.22469275
463,382521748.30933315
464,142125386.21608672
465,112393128.10248871
466,179915820.05192572
467,147841211.9822013
468,356046861.8789203
469,140609992.22577545
470,156799462.13061985
471,95095988.75984952
472,141735305.78233662
473,786052149.7205691
474,185478671.7449424
475,188485496.70953763
476,331445014.8339871
477,315499112.28611803
478,104594146.5588451
479,179369796.74736765
480,217887190.20385677
481,135662886.57208183
482,135857050.58055928
483,458357118.3611796
484,354930923.3321869
485,219447454.48056272
486,171981606.7171
487,316229078.9103464
488,571398453.5961066
489,461206443.2209827
490,114072768.8599797
491,233746743.8523055
492,305790860.02621937
493,193221160.87017822
494,102429264.1261934
495,91172094.45139527
496,239332702.20161223
497,245884439.3683692
498,231846010.0050829
499,150687729.45628148
500,200497282.62134606
501,138889529.8152556
502,183797486.59849188
503,156922361.25467667
504,599189818.7279536
505,322782906.5759252
506,180433915.15025714
507,85844048.95250405
508,134072533.69087885
509,241747114.66310155
510,311362306.1896237
511,205854061.13276964
512,208644874.70607942
513,158181890.53060555
514,215278206.24294135
515,249391060.0143102
516,177690089.98233214
517,396361371.6600749
518,144333711.60536152
519,135260640.65066692
520,170443406.25587493
521,189462654.4304761
522,251708818.72071698
523,182512175.88122755
524,364990867.5592353
525,161206174.33018667
526,492348883.07164115
527,198856123.6763864
528,241956314.94133458
529,134162119.7942205
530,170582917.65844178
531,293929047.59349763
532,268334087.57130906
533,96843725.30093949
534,200972355.3109964
535,248437336.16097575
536,126909444.04656793
537,110401986.98358704
538,393471247.2992585
539,296883274.0093816
540,176754986.51778314
541,222153885.22289857
542,321676298.87200105
543,102765982.61571504
544,161499919.6837746
545,633762361.1502397
546,194525894.16836655
547,260363745.24391127
548,387833574.3670626
549,226902155.4906009
550,191119539.13864836
551,280277241.8354681
552,128853480.39665066
553,193534005.10418853
554,193314716.6862383
555,484980684.2702106
556,200071068.02923393
557,128632667.96661083
558,357696354.60931766
559,312286040.69237685
560,124960591.90918338
561,135497405.9081359
562,140351044.93026266
563,307353307.99503034
564,305444834.5617367
565,265045375.33698282
566,168404934.1288752
567,188780241.1408158
568,251664248.80789268
569,234028439.75513288
570,167590219.12926462
571,104638769.89525643
572,181525863.03531417
573,371051943.62935925
574,154304824.6628363
575,401247370.5266059
576,145943466.4136407
577,663094169.0512071
578,151683499.36534914
579,157471324.50991493
580,281385623.32356673
581,188133359.82809803
582,177963991.21604717
583,255472025.96840218
584,256046076.80404508
585,111348168.544777
586,232985081.88232777
587,269533979.2194436
588,173615448.48125958
589,245841392.23866403
590,194990264.938017
591,165291477.12057766
592,177537295.23163176
593,183183412.46829104
594,308514043.2561432
595,220123408.7894362
596,207553893.58596486
597,540492580.2540026
598,135870230.72130427
599,190032473.26194996
600,217801910.1561202
601,257284271.11108848
602,272095490.4766846
603,100248548.22723913
604,307734503.92107016
605,201450328.929285
606,150206788.89429152
607,134518786.9622249
608,491045269.02534056
609,217786986.16351223
610,157863396.4355327
611,331420675.2082402
612,150368618.06314182
613,307552668.30461437
614,180320809.78162453
615,133613566.59718043
616,260183666.51949602
617,329595087.378828
618,153558043.6130064
619,391209320.3944553
620,122686176.8906725
621,197134033.91779116
622,287987920.3007952
623,173876534.92215675
624,275517156.51598203
625,225652333.0830489
626,359800722.840391
627,258329703.85701713
628,308303012.70702666
629,213580740.0573203
630,301087666.98784524
631,360575733.3620066
632,227874014.67916805
633,162580750.73089746
634,232994594.19038892
635,202478614.93368495
636,77994455.21094483
637,171712312.6205673
638,134225471.24681902
639,249626758.77537882
640,395830377.58827734
641,150725673.39996937
642,252635601.6377666
643,175119506.759677
644,116790705.09813559
645,237900567.81154743
646,156040201.9034987
647,151137034.21085244
648,173918109.640467
649,191854654.9688111
650,114702011.38171114
651,138976259.15434197
652,343221882.41500306
653,464634182.1344968
654,161741511.20542505
655,415157969.15238756
656,549883344.7805965
657,269757828.3332488
658,149769823.18189025
659,238369464.1110547
660,325620548.4134146
661,110637779.01183029
662,293093638.7026363
663,121878416.28706422
664,181188700.48630103
665,102433252.35167582
666,180296686.73704815
667,173557126.9624566
668,225507290.0315034
669,177980334.07380885
670,156529257.0102085
671,179539702.79386112
672,184784990.35785916
673,147734780.07954153
674,390631822.44459176
675,157461056.4939829
676,275621896.8229824
677,209508429.00031734
678,141420853.56397116
679,331978833.77710927
680,150163007.00362617
681,156973433.92556006
682,576770170.2852463
683,178333229.62110814
684,387156953.0615608
685,251347335.97064745
686,131011427.41069604
687,241242584.7252878
688,300788511.48911804
689,222317312.36372697
690,172560020.99942684
691,225228302.9499012
692,153120272.7835346
693,320359094.1176181
694,186961696.41993266
695,284855343.73935467
696,346096396.9692811
697,155639414.69096628
698,265935242.32262483
699,184189200.4710524
700,328419465.1230861
701,268146740.29651374
702,338068025.5670709
703,114576630.5029533
704,208745916.2408425
705,275688359.98404413
706,244258439.386585
707,168950515.02477828
708,207605990.36865914
709,200249427.61967847
710,298183949.77955246
711,131006513.83172208
712,327094472.5047668
713,155386603.27452597
714,212375838.75834313
715,196877606.539639
716,419159613.00272447
717,109785954.39125277
718,78616932.33617298
719,389998202.9711159
720,285946490.5329402
721,144108983.64679122
722,222005141.97046092
723,299698098.348104
724,269736548.1167715
725,202295933.82640135
726,143750999.57895336
727,169006998.85722783
728,145889367.01725984
729,112346828.51802161
730,177017855.53849724
731,205956525.6708491
732,244862106.21041438
733,138474881.44238374
734,558081527.9077421
