,pv
559,184660984.85255197
560,256563440.4651684
561,182828218.40197948
562,272136367.3791696
563,276327037.3849426
564,142989298.2164039
565,196176492.0893234
566,173634107.55355763
567,288667090.91450095
568,252986434.83806276
569,487459965.9133759
570,203202905.4286036
571,107357433.9586351
572,154260572.21331337
573,248835194.91698408
574,135401202.36874366
575,191429504.79814044
576,632568568.8493828
577,197094624.02270067
578,293288737.6353122
579,510506479.6117463
580,175935812.6445166
581,273546721.78076977
582,229464385.19998628
583,260796229.26670653
584,285263925.29194057
585,270695632.3556251
586,170432818.03745332
587,185875367.14081416
588,206861645.0659349
589,223688803.7966297
590,220694378.19671807
591,176605011.8994424
592,183349714.905396
593,325761568.9912794
594,206363330.33272856
595,241153312.9008113
596,150965015.7380076
597,127801843.57832369
598,151321129.9497769
599,344012142.9900808
600,201807121.88043976
601,273030240.9087854
602,147526927.6723358
603,235160625.14030907
604,120815813.5117858
605,232661481.11935908
606,455044231.4694509
607,252213912.2445654
608,195490146.26964998
609,187277596.4848327
610,184820767.97575977
611,223555783.72694206
612,314600027.0526653
613,196162562.10520402
614,292179833.34368813
615,265678845.2632964
616,234841678.98148578
617,170575409.24115348
618,348016284.74589014
619,188658635.2608701
620,398856075.5091702
621,93001443.31429166
622,145987858.95828083
623,301286410.0066478
624,224212972.77810687
625,161025548.38241503
626,255777320.78408077
627,416800164.74161583
628,205820186.19143933
629,232253882.1218389
630,184305644.503834
631,517972237.57435626
632,245946273.3307411
633,264650578.99217904
634,521522732.5988031
635,268544165.21785104
636,168158083.8879575
637,264203801.75475147
638,329147892.96939486
639,232683834.37048504
640,275218877.5066201
641,176117833.0160535
642,130121177.95631088
643,150059593.36517966
644,190568298.07159677
645,314042350.8081183
646,235041881.48931023
647,149153078.11913422
648,137468793.4984157
649,276196414.701266
650,166865634.4577901
651,139946878.3625914
652,166521244.94436496
653,149924592.9343294
654,134521533.02954248
655,302993009.02345747
656,199406296.7705805
657,163616121.11661738
658,150003425.0026635
659,131818008.1001913
660,318314298.7617777
661,235668891.45092154
662,179806758.7029577
663,189982709.39603236
664,174730933.17914343
665,151752193.39523718
666,117278970.02943863
667,278458700.1237771
668,260459753.29264882
669,258914044.45838848
670,209461378.62491977
671,140270102.8066523
672,164291210.1628283
673,175075646.09156832
674,169617155.91211605
675,167759067.63784534
676,200417081.30374026
677,266125312.5310133
678,384312937.42637026
679,457899582.2781941
680,120742010.05497782
681,171158927.5823258
682,157593238.20741373
683,437781097.365014
684,177532968.2451354
685,114795306.09545565
686,137624328.66761672
687,139687525.2858135
688,299247196.56286937
689,126707613.09450448
690,166287290.59497368
691,293275503.27248657
692,163596829.51845458
693,224187928.7023718
694,102893701.8664558
695,177798059.55338323
696,163480624.92093912
