,pv
583,251364546.20005906
584,263017580.84798676
585,276759204.43648916
586,162937775.58054772
587,166871580.22898176
588,206321852.6710007
589,225575389.87415364
590,219338438.82678238
591,179046157.62994716
592,182924997.9872903
593,318871928.8427925
594,184444576.3850166
595,207661548.1744697
596,148953713.7837737
597,128945283.4137173
598,151705156.71849084
599,327388095.22247857
600,201982317.95984507
601,248854434.775136
602,150755184.73128867
603,223080205.91274494
604,119480461.03819104
605,216191261.0263292
606,394870748.4807102
607,246580613.39711192
608,190876872.07808197
609,180046616.65135914
610,171384730.26679423
611,219442832.34586018
612,315388685.69242156
613,189109583.083994
614,268408842.28020948
615,247142447.3058277
616,220528871.21628538
617,161909840.01154903
618,314706571.67451036
619,157223146.39849514
620,387695352.1597765
621,95441425.56848015
622,148638836.76311854
623,302088061.62497
624,216901293.71306503
625,158523475.61798576
626,252447913.49379432
627,395334530.8623988
628,203579529.43767145
629,211899914.61838007
630,172499526.7122672
631,534415462.54744035
632,250703507.89693418
633,265292110.1090824
634,501362415.2627535
635,261483073.2277298
636,162189397.18760782
637,265213579.55886114
638,325107365.29775023
639,221189022.4663415
640,277083171.367782
641,167232550.48885253
642,127833174.61576298
643,144425207.8574751
644,188821374.6476459
645,302070547.50651115
646,225604609.7661675
647,143713984.7091138
648,137820981.8724023
649,276730954.3124403
650,167779191.9039094
651,147324021.2432743
652,168482377.49406886
653,148456986.8591103
654,127603214.6455661
655,295715143.87170196
656,196307316.78064707
657,161739146.5754402
658,150369201.69131628
659,129788113.76842165
660,319876488.8930044
661,230236157.3495307
662,177696482.73068187
663,187664564.89991835
664,170468755.92854935
665,139575735.85524097
666,109254146.85324228
667,271088229.9178207
668,261399657.86238348
669,259024508.04881862
670,196673768.5891228
671,138250608.3222431
672,153576705.5872532
673,169984046.7640829
674,169253555.15658665
675,160526200.63249025
676,197169915.51245457
677,265583095.5461374
678,370814129.6091942
679,457201371.66877836
680,111618247.27684924
681,162896905.4174519
682,159708381.61041358
683,457719946.2542115
684,180769942.36790344
685,117548319.09612343
686,136734120.96921614
687,139203615.99387154
688,250627802.89099136
689,128821692.39440562
690,167911816.26877046
691,284180134.0201564
692,154902820.4445189
693,222172301.27566123
694,108894166.02436014
695,170412171.46166644
696,163578874.07006878
697,124318102.12201224
698,329492364.3268342
699,333177272.53467023
700,191001113.14394128
701,181284308.15144175
702,169307455.61861777
703,138587084.98873845
704,174930899.5693171
705,160268178.28175902
706,127514460.70688137
707,171150090.87728485
708,351651972.39502764
709,429542256.3306187
710,229198089.03524518
711,217188286.88890418
712,242262666.78298196
713,151254486.48857537
714,319843073.8661604
715,165993900.48573798
716,147434482.5614352
717,151507564.64747694
718,166303121.86140117
719,119897245.22395796
720,151375049.11571586
721,236294041.49141648
722,327163526.7223433
723,334323987.90513545
724,213215997.22715995
725,157966984.82396546
726,155056182.5770946
727,160981886.36102587
728,165640204.57852966
729,143389436.4921491
730,216069473.07446143
731,215474617.88307443
732,150699107.94117674
733,324313210.04069906
734,415591557.98910207
735,262630583.11311054
736,210479373.25612172
737,177843264.8055531
738,101785623.16141902
739,154347360.4400833
740,377060657.4363859
741,195650243.47954035
742,176910919.32425392
743,338275230.04969645
744,189614522.0328403
745,287894867.3102091
746,113560910.4112278
747,214235618.7483579
748,207333134.58364838
749,206324168.66636473
750,294436731.25380313
751,218140527.5338975
752,355082022.6130819
753,171175161.62738883
754,130120070.5507839
755,363813547.50098765
756,141727225.57542026
757,204946783.88070396
758,249943829.29016605
759,200127412.6107009
760,158675658.70608747
761,156043333.97081128
762,258448014.40172625
763,159448087.75697556
764,211805003.77820843
765,248465732.66175175
766,138395622.9601129
767,211352121.14562955
768,138168162.72397074
769,697234869.1683078
770,173420697.97609633
771,405470306.8013714
772,96511765.75498906
773,171947840.02036703
774,266430094.7433969
775,241857367.72389302
776,138128783.61624962
777,199045467.40447733
778,199134157.65779492
779,172048965.8971862
780,241218742.43233168
781,153506640.10368237
782,322394128.84341323
783,123249935.35202852
784,182729666.28776473
785,219798643.9671251
786,170786780.62357792
787,162472226.32712674
788,149692205.3757337
789,125019287.3054566
790,98427433.18622734
791,141656147.35006997
792,281107003.313388
793,242208298.92746952
794,392432985.41976357
795,262118919.67113507
796,371563270.2244324
797,674400935.6997337
798,157038274.12965974
799,137419462.39359692
800,232967108.82210088
801,175022078.08574244
802,205599085.28402397
803,170871703.99311307
804,141600126.91653097
805,450213028.5816584
806,185606890.9708379
807,239336428.32630187
808,156977872.56139797
809,280689484.8750714
810,141083533.15188217
811,212303610.71340665
812,245063941.45629475
813,135804240.83916247
814,104789362.59915936
815,507563072.2759064
816,150872633.44240966
817,150865206.86126482
818,196886582.37358236
819,138346331.09343135
820,327639536.2310452
821,213419915.88044375
822,403069903.26938605
823,263706974.41060758
824,135459401.7643829
825,166525235.89060283
826,182725902.11164066
827,260543170.0317623
828,110183519.39309402
829,246646308.7383912
830,141033356.81622997
831,183206935.77399436
832,260037820.9167062
833,173731586.28137693
834,250749007.48770484
835,215106459.5882965
