YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1971;3893.13;5729.91;7919.34;11501.47;7971.67;4412.15;2726.49;2008.9;1687.07;1809.08;3676.19;6460.74
1972;6948.11;9694.81;12988.93;12579.98;6841.12;3593.96;2462.67;1893.48;1587.76;1648.65;2221.59;4295.49
1973;8977.61;8591.43;13260.07;16496.02;11086.58;5439.76;3294.29;2451.84;1845.2;2451.68;4269.7;7860.2
1974;9215.05;14495.29;20701.67;23865.77;20710.83;10133.62;5132.12;3353.12;2652.05;2662.66;3598.29;5420.29
1975;8095.57;14107.25;14087.36;17203.76;13844.01;6659.7;4024.76;2812.2;2177.2;2054.17;3048.27;4285.41
1976;5890.96;9421.06;12284.1;12391.8;8233.47;4774.84;3108.09;2131.62;1739.65;2434.34;3589.7;6845.68
1977;9540.81;19359.53;16537.32;15316.56;15152.03;7164.48;3943.35;2585.51;2001.38;2498.06;3096.36;5365.47
1978;16252.52;16790.61;26009.72;20308.84;15167.49;7671.45;4264.99;3128.53;2381.83;2411;2748.5;5121.61
1979;13336.07;26986.54;24878.24;19682.45;12115.32;5967.57;3750.04;2858.7;2737.01;2779.41;3936.11;4586.69
1980;11626.36;25885.9;33744.51;23440.95;11980.41;6109.85;4023.09;2996.48;2514.38;2546.27;3511.24;8258.6
1981;15401.03;16467.1;14323.11;18467.55;10605.6;5434.13;3578.9;2672.92;2222;2238.57;4884.22;7749
1982;15401.59;22487.03;20752.06;19582.51;12706.9;6613.64;3816.03;2786.17;2380.01;2597.04;2809.73;3059.53
1983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1984;8722.29;9224.35;10967.29;16025.97;11463.02;4878.95;2941.25;2192.46;2087.48;1968.24;2626.34;3430.87
1985;9687.94;20387.94;19469.53;22575.64;16391.48;7327.03;3871.37;2689.98;2040.06;2664.05;4343.58;8868.47
1986;20397.1;18234.79;19750.87;17154.81;11352.5;5807.04;3569.3;2454.78;2100.17;2885.94;3367;4088.58
1987;6309.53;7081.11;12976.51;13862.35;7530.3;3670.12;2414.46;1892.1;1569.05;1706.86;2404.99;6015.28
1988;9667.89;11111.52;16995.69;17273.57;12389.59;5707.73;3439.66;2382.88;1945.04;1995.04;3245.45;7597.69
1989;10050.76;11171.72;14878.09;17677.34;13869.15;6380.39;3907.25;2713.41;2235.13;2282.39;4372.99;13886.42
1990;23449.63;15392.37;18871.69;15127.73;8958.14;4824.95;3275.13;2321.69;2189.02;2214.75;2617.4;3714.79
1991;8423.32;11806.74;14217.14;18684.02;14252.5;6986.96;3601.49;2742.05;2126.45;2052.59;2689.32;4607.97
1992;7411.93;22711.09;16007.4;15585.12;9379.34;4372.81;2690.43;2096.39;1966.64;2075.18;3563.42;8787.99
1993;10818.92;12025.7;13807.3;12263.42;7939.86;3783.99;2539.41;1974.47;1788.03;2014.74;2529.25;4320.83
1994;11197.63;14780.7;20760.56;18852.01;10767.56;5624.07;3566.59;2493.21;1986.06;1956.24;2224.52;5278.15
1995;9909.79;14848.03;15339.25;18143.6;16137.54;8726.5;4102.3;2698.44;1934.88;1890.09;3126.24;6865.86
1996;10804.87;9908.41;12648.75;14127.53;10364.88;5313.22;3538.63;2535.42;1813.6;2117;3312.67;4430.27
1997;10288.03;13792.5;19883.1;25099.68;17667.15;7426.47;4258.75;2866.68;2244.8;2157.46;2504.25;4400.78
1998;7017.45;9267.26;12384.08;8662.66;5264.44;3018.46;2307.56;1455.42;1379.33;1412.17;2625.43;5310.74
1999;8345.5;8170.04;13129.38;10795.11;8816.28;4258.51;2686.07;1933.88;1617.21;1740.39;3150.3;7716.41
2000;15034.49;16846.34;21388.35;18684.5;13189.92;5419.19;3695.43;2626.68;2151.83;2129.67;3508.86;8462.67
2001;9693.82;10356.98;13455.08;14296.08;7687.12;4594.29;2997.3;2105.46;1638.84;1939.98;3096.43;6883.02
2002;19293.15;18361.69;15207.25;15049.98;8032.19;4266.15;2456.86;1687.18;1403.71;1513.77;2205.32;3169.26
2003;7206.01;11226.45;14793.07;16718.21;9773.84;4677.71;2741.39;1945.97;1467.3;1394.59;2489.92;3573.36
2004;8462.7;23225.67;24848.95;22490.42;12707.06;5240.86;3206.27;2323.11;1752.64;1758.18;2449.98;3969.63
2005;6763.02;13257.7;19422.42;16585.21;11950.38;5011.05;2934.6;1852.09;1403.8;1423.39;1943.37;6448.48
2006;10802.53;10945.27;13908.63;21470.46;17618.47;7106.89;3571.18;2256.41;1743.75;2058.37;3975.66;4885.67
2007;6499.8;15574.3;17542.63;14135.71;7989.54;3965.1;2511.94;1800.01;1372.98;1328.2;1543.29;3215.82
2008;5148.48;10877.03;15782.29;18498.96;13400.39;5733.27;3151.33;2057.27;1525.33;1447.78;2017.76;6065.36
2009;8276.41;11769.67;14348.74;17130.17;20147.11;9562.59;4193.71;2410.69;1901.29;2262.28;4233.35;6634.84
2010;12261.51;12344.86;12614.13;16346;7757.33;3914.1;2552.29;1954.7;1450.41;1565.23;2737.69;5209.91
2011;10538.96;14857.49;20733.48;20241.75;14585.71;5838.83;3496.43;2247.75;1584.78;2068.41;4005.33;7425.64
2012;14404.6;17224.47;16491.96;11604.09;6459.52;3788.82;2571.52;1624.93;1358.73;1367.27;2550.47;5240.02
2013;7258.67;13109.1;13076.6;15534.4;11058.98;4911.18;2992.5;2038.15;1587.3;1631.66;2751.41;5944.41
