YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1999;9341.51;5689.05;11718.1;7664.07;3947.06;2798.98;2387.7;2086.7;2336.91;1881.73;4865.02;10074.89
2000;13158.72;15046.76;13521.75;11027.82;5505.24;3711.39;2932.12;3003.8;2783.2;2465.35;5288.73;11429.73
2001;10240.83;5360.91;5358.91;4028.13;2642.28;2554.99;2069.87;1918.41;2028.78;2299.61;3598.98;6486.19
2002;16854.34;14634.41;10688.91;6945.32;3356.73;2720.15;2581.31;2026.03;1582.95;2072.96;2833.41;5528.8
2003;12301.54;13178.36;8016.64;7894.69;4144.77;3007.94;2644.28;2261.85;2063.77;1527.4;2496.36;4818.89
2004;9778.86;14874.53;20160.58;15946.22;8502.69;4503.35;3900.74;3027.27;2710.17;2705.88;3194.49;5399.51
2005;11834.89;14907.54;14563.16;12383.54;6689.04;4403.79;3544.59;2944.82;2880.92;2729.08;4077.99;13018.05
2006;12967.66;6989.04;10601.5;13306.08;7024.81;3913.8;3241.01;3030.66;2912.3;3938.35;8496.46;12071.65
2007;16870.53;21485.49;20483.03;7766.22;4624;3857.52;3017.42;2968.11;2218.75;1796.5;1903.73;4718.52
2008;5820.28;11437.34;13472.67;14219.46;5904.69;3386.59;2789.99;2513.33;2004.71;2192.38;2702.64;7218.15
2009;15967.6;14559.93;10546.41;13048.96;7836.14;4594.35;3703.97;2925.71;3005.14;4096.74;7847.06;7808.31
2010;10283.08;5666.86;7878.51;8453.34;3867.45;3093.06;2482.62;2098.29;2024.28;2473.2;5202.23;9239.02
2011;13164.8;9317.22;11530.87;15223.69;5898.12;3691.22;3156.08;2433.83;2183.95;2748.47;3931.52;10549.87
2012;17121.77;15436.98;6448.73;6345.52;3729.67;3623.01;2744.39;2258.57;1965.18;1674.08;4413.1;6730.56
2013;5010.98;10506.04;5343.64;8114.03;4436.83;3354.04;2553.22;2264.21;1847.74;2016.68;2618.38;8943.03
